Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteLogin,Firefox 56.0,,2017-10-28 11:16:51,2017-10-28 11:17:58,"1m - 6,960s",PASSED
,,,,,,
Test Cases/Crear User,Firefox 56.0,,2017-10-28 11:16:52,2017-10-28 11:17:58,"1m - 5,973s",PASSED
openBrowser,Firefox 56.0,,2017-10-28 11:16:54,2017-10-28 11:17:25,"31,197s",PASSED
Statement - SignIn = new com.kms.katalon.core.testobject.TestObject(SignIn),Firefox 56.0,Creamos un nuevo TestObject para el boton Create Account\r\n,2017-10-28 11:17:25,2017-10-28 11:17:25,"0,022s",PASSED
"Statement - SignIn.addProperty(""xpath"", EQUALS, ""//a[contains(@href,'/user')][@title='Sign In']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-28 11:17:25,2017-10-28 11:17:26,"0,030s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-28 11:17:26,2017-10-28 11:17:28,"2,007s",PASSED
Statement - CreateAccount = new com.kms.katalon.core.testobject.TestObject(CreateAccount),Firefox 56.0,Creamos un nuevo TestObject para el boton Create Account\r\n,2017-10-28 11:17:28,2017-10-28 11:17:28,"0,003s",PASSED
"Statement - CreateAccount.addProperty(""xpath"", EQUALS, ""//a[contains(@href,'/createAccount')][@class='btn']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-28 11:17:28,2017-10-28 11:17:28,"0,001s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-28 11:17:28,2017-10-28 11:17:34,"6,201s",PASSED
"Statement - s = ""tlg-""",Firefox 56.0,,2017-10-28 11:17:34,2017-10-28 11:17:34,"0,002s",PASSED
"Statement - s += new java.util.Date().format(""yyyyMMdd"")",Firefox 56.0,,2017-10-28 11:17:34,2017-10-28 11:17:34,"0,047s",PASSED
"Statement - s += ""-""",Firefox 56.0,,2017-10-28 11:17:34,2017-10-28 11:17:34,"0,002s",PASSED
Statement - randomGenerator = new java.util.Random(),Firefox 56.0,,2017-10-28 11:17:34,2017-10-28 11:17:34,"0,036s",PASSED
Statement - hash = randomGenerator.nextInt(100),Firefox 56.0,,2017-10-28 11:17:34,2017-10-28 11:17:34,"0,009s",PASSED
Statement - s += hash,Firefox 56.0,,2017-10-28 11:17:34,2017-10-28 11:17:34,"0,008s",PASSED
"Statement - s = s + ""@tlg.com""",Firefox 56.0,Hasta aqui generamos una cadena de formato tlg-fecha-hash@tlg.com\r\n,2017-10-28 11:17:34,2017-10-28 11:17:34,"0,006s",PASSED
Statement - mailGlobal = s,Firefox 56.0,,2017-10-28 11:17:34,2017-10-28 11:17:34,"0,015s",PASSED
Statement - mail = new com.kms.katalon.core.testobject.TestObject(mail),Firefox 56.0,Creamos un nuevo TestObject para el campo Email\r\n,2017-10-28 11:17:34,2017-10-28 11:17:34,"0,002s",PASSED
"Statement - mail.addProperty(""xpath"", EQUALS, ""//input[@id='userEmailField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-28 11:17:34,2017-10-28 11:17:34,"0,001s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-28 11:17:34,2017-10-28 11:17:41,"7,253s",PASSED
Statement - Adreca1 = new com.kms.katalon.core.testobject.TestObject(Adreca1),Firefox 56.0,Creamos un nuevo TestObject para el campo Adreca test 1\r\n,2017-10-28 11:17:41,2017-10-28 11:17:41,"0,003s",PASSED
"Statement - Adreca1.addProperty(""xpath"", EQUALS, ""//input[@id='userAddress1Field']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-28 11:17:41,2017-10-28 11:17:41,"0,002s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-28 11:17:41,2017-10-28 11:17:42,"0,807s",PASSED
Statement - Adreca2 = new com.kms.katalon.core.testobject.TestObject(Adreca2),Firefox 56.0,Creamos un nuevo TestObject para el campo Adreca test 2\r\n,2017-10-28 11:17:42,2017-10-28 11:17:42,"0,000s",PASSED
"Statement - Adreca2.addProperty(""xpath"", EQUALS, ""//input[@id='userAddress2Field']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-28 11:17:42,2017-10-28 11:17:42,"0,008s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-28 11:17:42,2017-10-28 11:17:43,"0,596s",PASSED
Statement - Compania = new com.kms.katalon.core.testobject.TestObject(Compania),Firefox 56.0,Creamos un nuevo TestObject para el campo Compania\r\n,2017-10-28 11:17:43,2017-10-28 11:17:43,"0,002s",PASSED
"Statement - Compania.addProperty(""xpath"", EQUALS, ""//input[@id='userCompanyField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-28 11:17:43,2017-10-28 11:17:43,"0,002s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-28 11:17:43,2017-10-28 11:17:43,"0,585s",PASSED
Statement - Name = new com.kms.katalon.core.testobject.TestObject(Name),Firefox 56.0,Creamos un nuevo TestObject para el campo Name\r\n,2017-10-28 11:17:43,2017-10-28 11:17:43,"0,000s",PASSED
"Statement - Name.addProperty(""xpath"", EQUALS, ""//input[@id='userFirstNameField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-28 11:17:43,2017-10-28 11:17:43,"0,000s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-28 11:17:43,2017-10-28 11:17:44,"0,654s",PASSED
Statement - Apellido = new com.kms.katalon.core.testobject.TestObject(Apellido),Firefox 56.0,Creamos un nuevo TestObject para el campo Apellido\r\n,2017-10-28 11:17:44,2017-10-28 11:17:44,"0,001s",PASSED
"Statement - Apellido.addProperty(""xpath"", EQUALS, ""//input[@id='userLastNameField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-28 11:17:44,2017-10-28 11:17:44,"0,001s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-28 11:17:44,2017-10-28 11:17:45,"0,748s",PASSED
Statement - Pass = new com.kms.katalon.core.testobject.TestObject(Pass),Firefox 56.0,Creamos un nuevo TestObject para el campo password\r\n,2017-10-28 11:17:45,2017-10-28 11:17:45,"0,001s",PASSED
"Statement - Pass.addProperty(""xpath"", EQUALS, ""//input[@id='userPasswordField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-28 11:17:45,2017-10-28 11:17:45,"0,002s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-28 11:17:45,2017-10-28 11:17:46,"1,025s",PASSED
Statement - CPass = new com.kms.katalon.core.testobject.TestObject(CPass),Firefox 56.0,Creamos un nuevo TestObject para el campo Confirma Password\r\n,2017-10-28 11:17:46,2017-10-28 11:17:46,"0,000s",PASSED
"Statement - CPass.addProperty(""xpath"", EQUALS, ""//input[@id='userRetypePasswordField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-28 11:17:46,2017-10-28 11:17:46,"0,000s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-28 11:17:46,2017-10-28 11:17:47,"1,027s",PASSED
Statement - Phone = new com.kms.katalon.core.testobject.TestObject(Phone),Firefox 56.0,Creamos un nuevo TestObject para el campo Phone\r\n,2017-10-28 11:17:47,2017-10-28 11:17:47,"0,002s",PASSED
"Statement - Phone.addProperty(""xpath"", EQUALS, ""//input[@id='userPhoneField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-28 11:17:47,2017-10-28 11:17:47,"0,001s",PASSED
